ID;Nazwa;ID TRAM;ID BUS;Lat;Lon;Strefa;Dzielnica;Ulica;Exit-only (E)/Tram (T)/Bus (B);NŻ;Ex ID;Ex Nazwa
647-4;Wlotowa 04;;647-04;50.019108888;19.988405277;;;;;;;
154-1;Władysława Jagiełły 01;;154-01;50.095516388;20.041566944;;;;;;;
154-2;Władysława Jagiełły 02;;154-02;50.094972222;20.040074444;;;;;;;
385-1;Władysława Łokietka 01;;385-01;50.085554722;19.923147222;;;;;;;
385-2;Władysława Łokietka 02;;385-02;50.086271666;19.922826666;;;;;;;
2247-1;Włosań Centrum 01;;2247-01;49.913592222;19.903005833;;;;;;;
2756-1;Włosań Dział Wschodni 01;;2756-01;49.917197222;19.907512500;;;;;;;
2756-2;Włosań Dział Wschodni 02;;2756-02;49.917128333;19.906815555;;;;;;;
2245-1;Włosań Kopań 01;;2245-01;49.923811944;19.919882500;;;;;;;
2245-2;Włosań Kopań 02;;2245-02;49.923657222;19.919966388;;;;;;;
2246-1;Włosań Krzyżówka 01;;2246-01;49.918152222;19.915111666;;;;;;;
2246-2;Włosań Krzyżówka 02;;2246-02;49.918023888;19.914540000;;;;;;;
615-1;Wodna 01;;615-01;50.0377084;19.9767812;;;;;;;
615-2;Wodna 02;;615-02;50.0387534;19.9771679;;;;;;;
310-1;Wodociągi 01;;310-01;50.041851111;19.841188888;;;;;;;
310-2;Wodociągi 02;;310-02;50.041104444;19.839962222;;;;;;;
303-1;Wodociągowa 01;;303-01;50.048132222;19.896870555;;;;;;;
303-2;Wodociągowa 02;;303-02;50.048131944;19.897634166;;;;;;;
7325-71;Wodzickich 71;;7325-71;50.090732500;20.182468888;;;;;;;
7325-72;Wodzickich 72;;7325-72;50.090605833;20.183490833;;;;;;;
2612-1;Wola Batorska Borek 01;;2612-01;50.052858055;20.294983333;;;;;;;
2612-2;Wola Batorska Borek 02;;2612-02;50.054480833;20.296809444;;;;;;;
2611-1;Wola Batorska Cmentarz 01;;2611-01;50.052773611;20.288832777;;;;;;;
2611-2;Wola Batorska Cmentarz 02;;2611-02;50.052575555;20.290766666;;;;;;;
2610-1;Wola Batorska Kościół 01;;2610-01;50.052901944;20.276068611;;;;;;;
2610-2;Wola Batorska Kościół 02;;2610-02;50.052961944;20.277163611;;;;;;;
2613-1;Wola Batorska Mikoniowiec 01;;2613-01;50.057616111;20.298303888;;;;;;;
2613-2;Wola Batorska Mikoniowiec 02;;2613-02;50.058838611;20.298848611;;;;;;;
2608-1;Wola Batorska Ruskie 01;;2608-01;50.053099722;20.257506666;;;;;;;
2608-2;Wola Batorska Ruskie 02;;2608-02;50.053238055;20.259092777;;;;;;;
2614-1;Wola Batorska Zamoglice 01;;2614-01;50.064013055;20.301589166;;;;;;;
2614-2;Wola Batorska Zamoglice 02;;2614-02;50.064300277;20.302278055;;;;;;;
2609-1;Wola Batorska Żwirownia 01;;2609-01;50.052746111;20.265657222;;;;;;;
2609-2;Wola Batorska Żwirownia 02;;2609-02;50.052432777;20.267372777;;;;;;;
625-1;Wola Duchacka 01;;625-01;50.021022777;19.962011388;;;;;;;
625-2;Wola Duchacka 02;;625-02;50.019711666;19.960557222;;;;;;;
625-3;Wola Duchacka 03;;625-03;50.021261111;19.960270833;;;;;;;
2571-1;Wola Luborzycka Działki 01;;2571-01;50.155264722;20.115751111;;;;;;;
2571-2;Wola Luborzycka Działki 02;;2571-02;50.154678611;20.115788888;;;;;;;
2194-1;Wola Luborzycka Las 01;;2194-01;50.164206388;20.118771666;;;;;;;
2194-2;Wola Luborzycka Las 02;;2194-02;50.164554444;20.119128611;;;;;;;
2193-1;Wola Luborzycka Skrzyżowanie 01;;2193-01;50.159699444;20.116622222;;;;;;;
2193-2;Wola Luborzycka Skrzyżowanie 02;;2193-02;50.160360277;20.117043333;;;;;;;
2434-1;Wola Radziszowska Centrum 01;;2434-01;49.907777500;19.787147500;;;;;;;
2434-2;Wola Radziszowska Centrum 02;;2434-02;49.908383333;19.788275000;;;;;;;
